Campaign	Ad Group	AdGroup Status
NEW_SKU_CAMPAIGN	CR6501YL	Active
NEW_SKU_CAMPAIGN	CR8500	Active
NEW_SKU_CAMPAIGN	CR8500BR	Active
NEW_SKU_CAMPAIGN	CR8800	Paused
NEW_SKU_CAMPAIGN	CR9006	Paused
NEW_SKU_CAMPAIGN	CS0036	Paused
NEW_SKU_CAMPAIGN	CS0048	Active
NEW_SKU_CAMPAIGN	CS0601X2	Paused
NEW_SKU_CAMPAIGN	CS2026X2	Paused
NEW_SKU_CAMPAIGN	CS5003	Paused
NEW_SKU_CAMPAIGN	CS5222	Paused
NEW_SKU_CAMPAIGN	CS6224	Paused
NEW_SKU_CAMPAIGN	CS7022BG	Paused
NEW_SKU_CAMPAIGN	CS7022BK	Paused
NEW_SKU_CAMPAIGN	CS7022GK	Paused
NEW_SKU_CAMPAIGN	CS7022KE	Active
NEW_SKU_CAMPAIGN	CS7022RD	Active
NEW_SKU_CAMPAIGN	CS7022YL	Active
NEW_SKU_CAMPAIGN	CS7700BG	Paused
NEW_SKU_CAMPAIGN	CS7700BK	Active
NEW_SKU_CAMPAIGN	CS7700YL	Paused
NEW_SKU_CAMPAIGN	CS7701AB	Paused
NEW_SKU_CAMPAIGN	CS7701AR	Paused
NEW_SKU_CAMPAIGN	CS7701BA	Active
NEW_SKU_CAMPAIGN	CS7701BK	Paused
NEW_SKU_CAMPAIGN	CS7701EK	Active
NEW_SKU_CAMPAIGN	CS7701ER	Paused
NEW_SKU_CAMPAIGN	CS7701EY	Active
NEW_SKU_CAMPAIGN	CS7701YL	Paused
NEW_SKU_CAMPAIGN	CS8801BA	Active
NEW_SKU_CAMPAIGN	CS8801BK	Paused
NEW_SKU_CAMPAIGN	CS8801EK	Active
NEW_SKU_CAMPAIGN	CS8801ER	Active
NEW_SKU_CAMPAIGN	CS8801EY	Paused
NEW_SKU_CAMPAIGN	ct0036	Active
NEW_SKU_CAMPAIGN	CT0036BL	Paused
NEW_SKU_CAMPAIGN	CT0036RD	Paused
NEW_SKU_CAMPAIGN	ct0040	Active
NEW_SKU_CAMPAIGN	CT0040RD	Paused
NEW_SKU_CAMPAIGN	CT0055	Paused
NEW_SKU_CAMPAIGN	CT0056	Paused
NEW_SKU_CAMPAIGN	CT0060RD	Active
NEW_SKU_CAMPAIGN	CT0075	Paused
NEW_SKU_CAMPAIGN	CT0080	Paused
NEW_SKU_CAMPAIGN	CT0604	Paused
NEW_SKU_CAMPAIGN	CT0840BKX2	Paused
