SKU	QUANTITY TO LIST	DIS PRICE	SHIP PRICE	FREE SHIP SELL PRICE X 0.9	DAYS	LISTING TYPE
RP0746SL	1	54.95	8.95	58	Days_5	Auction
RP0746WT	1	54.95	10	59	Days_5	Auction
RP0913	1	71.95	7.2	72	Days_5	Auction
RP1914	1	80.95	8.95	81	Days_5	Auction
RP3056	1	84.95	8.95	85	Days_5	Auction
RP4249	1	31.95	8.95	37	Days_5	Auction
RP4306	1	20.95	8.95	27	Days_5	Auction
RP4407	1	125.95	8.95	122	Days_5	Auction
RP4430BK	1	27.95	12.65	37	Days_5	Auction
RP4483	1	44.95	8.95	49	Days_5	Auction
RP5200	1	141.95	20.1	146	Days_5	Auction
RS0039	1	33.95	9.3	39	Days_5	Auction
RS0110	1	30.95	9.2	37	Days_5	Auction
RT4839	1	77.95	8.25	78	Days_5	Auction
RT5914	1	37.95	9.95	44	Days_5	Auction
RT5914CF	1	37.95	23	55	Days_5	Auction
RU8841	1	66.95	8.25	68	Days_5	Auction
RZ7052	1	62.95	9	65	Days_5	Auction
RZ8827	1	47.95	9	52	Days_5	Auction
RZ9134	1	32.95	8.25	38	Days_5	Auction
SBT001	1	132.95	10.2	129	Days_5	Auction
SC0480	1	94.95	10.2	95	Days_5	Auction
SC0802	1	24.95	9.95	32	Days_5	Auction
SC0802BL	1	24.95	9.7	32	Days_5	Auction
SC4300	1	113.95	8.7	111	Days_5	Auction
SF0029	1	59.95	15.1	68	Days_5	Auction
SF0049	1	62.95	23.1	78	Days_5	Auction
SG0075	1	24.95	8.7	31	Days_5	Auction
SG0075BL	1	24.95	8.7	31	Days_5	Auction
SK5034	1	54.95	8.95	58	Days_5	Auction
SK8521	1	20.95	8.25	27	Days_5	Auction
SK8521BK	1	20.95	8.25	27	Days_5	Auction
SM0403BK	1	41.95	8.95	46	Days_5	Auction
SM0601	1	40.95	10.8	47	Days_5	Auction
SP0202	1	56.95	14.95	65	Days_5	Auction
SP0291	1	76.95	8.95	78	Days_5	Auction
SQ4608	1	69.95	14.95	77	Days_5	Auction
SQ4635	1	71.95	24.95	88	Days_5	Auction
SQ4789	1	29.95	19.95	45	Days_5	Auction
SR9003	1	30.95	9.25	37	Days_5	Auction
SS0110	1	37.95	11.6	45	Days_5	Auction
SS0580BL	1	123.95	19.95	130	Days_5	Auction
SS1041	1	31.95	10.2	38	Days_5	Auction
ST1163	1	44.95	14.95	54	Days_5	Auction
ST4117BL	1	34.95	10	41	Days_5	Auction
SW4131BK	1	33.95	9	39	Days_5	Auction
SW4156RD	1	33.95	9.95	40	Days_5	Auction
SXP001	1	212.95	9.1	200	Days_5	Auction
TB0017HT	1	50.95	12.9	58	Days_5	Auction
TB3333BK	1	101.95	35.45	124	Days_5	Auction
TB4015HT	1	49.95	12.4	57	Days_5	Auction
TB4015PK	1	49.95	12.9	57	Days_5	Auction
TB4016QC	1	49.95	16.85	61	Days_5	Auction
